 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
MGNL0131,2021,SEPTIEMBRE,FRACCIONAMIENTO,CUMBRES PROVENZA TERRA 2DO SECTOR ETAPA 2,CALLE,TERRA SUR/ ARENA Y ARCILLA,SI,SI,SI,SI,NO,SI,7,"25.767891, -100.45894",
MGNL0282,2021,SEPTIEMBRE,FRACCIONAMIENTO,Valle de San José 1er Sector,AVENIDA,16 de Septiembe / Diamante,NO,SI,SI,NO,NO,SI,11,"25.793706, -100.59802",
MGNL0132,2021,SEPTIEMBRE,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR PECES,CALLE,MANDARIA/SALMON Y DORADO,SI,SI,NO,NO,SI,SI,3,"25.80561, -100.428662",
MGNL0285,2021,SEPTIEMBRE,FRACCIONAMIENTO,Valle de San José 2do Sector,CALLE,Aguamarina / Amatrino,NO,SI,SI,SI,NO,SI,1,"25.791125, -100.599676",
MGNL0133,2021,SEPTIEMBRE,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR PECES,CALLE,SALMON Y MANDARIN,SI,NO,SI,SI,NO,SI,1,"25.805245, -100.428941",
MGNL0294,2021,SEPTIEMBRE,FRACCIONAMIENTO,Villa de los Nogales,CALLE,Rubí / Turqueza,SI,SI,NO,SI,NO,SI,8,"25.794584, -100.595058",
MGNL0135,2021,SEPTIEMBRE,FRACCIONAMIENTO,DOMINIO CUMBRES SECTOR BRITANIA,CALLE,IRLANDA DEL  NORTE/GALES E INGLATERRA,SI,SI,SI,SI,NO,SI,6,"25.764341, -100.462905",
MGNL0299,2021,SEPTIEMBRE,FRACCIONAMIENTO,Villas del Alcali,CALLE,Talco / halita,NO,SI,SI,SI,NO,SI,3,"25.78819, -100.563736",
MGNL0137,2021,SEPTIEMBRE,FRACCIONAMIENTO,Arboledas,CALLE,Acaceas / Av. Del Roble,NO,SI,SI,SI,NO,SI,3,"25.792899, -100.588339",
MGNL0303,2021,SEPTIEMBRE,FRACCIONAMIENTO,Villas del Alcali,CALLE,Celestina / Diamante,SI,SI,SI,NO,NO,SI,21,"25.782304, -100.572785",
MGNL0153,2021,SEPTIEMBRE,COLONIA,Emiliano Zapata,CALLE,Jesús Fernandez / Lázaro Cardenas,NO,SI,SI,SI,NO,SI,5,"25.800112, -100.590731",
MGNL0305,2021,SEPTIEMBRE,FRACCIONAMIENTO,Villas del Alcali,CALLE,Ferberita / Olivino,NO,SI,SI,SI,NO,SI,3,"25.78754, -100.56168",
