FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
22716,2021,JUNIO,2021-06-29,MARTES,19:11:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,UNIVERSIDAD Y J TREVIÑO,"25.73473, -100.304357"
24002,2021,JULIO,2021-07-27,MARTES,18:00:00,LATERAL,FINIQUITADO,RUTINA,RESIDENCIAL,RESIDENCIAL PERIFERICO,AVENIDA,UNIVERSIDAD Y JUAN PABLO II,"25.74965, -100.29912"
23293,2021,JULIO,2021-07-27,MARTES,11:34:00,ALCANCE,FINIQUITADO,C4,COLONIA,ANAHUAC,AVENIDA,UNIVERSIDAD Y RAMON LOPEZ VELARDE,"25.739743, -100.30232"
22580,2021,JUNIO,2021-06-29,MARTES,09:42:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ITURBIDE,AVENIDA,UNIVERSIDAD Y  JUAREZ,"25.753277, -100.297828"
23037,2021,JULIO,2021-07-27,MARTES,20:26:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CASA BELLA,AVENIDA,SENDERO Y UNIVERSIDAD,"25.767392, -100.292059"
22187,2021,JULIO,2021-07-27,MARTES,13:06:00,CRUCERO,AMP,C4,COLONIA,GARZA CANTU,AVENIDA,AV SAN NICOLAS Y EULOGIO TREVIÑO,"25.713869, -100.29559"
22735,2021,JUNIO,2021-06-29,MARTES,10:20:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,VALLE DE LAS FLORES,AVENIDA,SANTO DOMINGO  Y JORGE TREVIÑO,"25.752468, -100.264945"
22892,2021,JULIO,2021-07-27,MARTES,21:15:00,DIVERSO ( DERRIVE DE CABLES ),FINIQUITADO,RUTINA,COLONIA,JARDINES DE ANAHUAC,CALLE,5TA AVENIDAD Y CALLE 4,"25.735197, -100.271858"
23703,2021,JULIO,2021-07-27,MARTES,15:52:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,FUTURO NOGALAR,AVENIDA,DIEGO DIAZ Y AUSTRALIA,"25.714759, -100.284255"
22810,2021,JUNIO,2021-06-29,MARTES,16:15:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,LA NOGALERA,AVENIDA,REP MEXICANA Y CAMARENA,"25.761616, -100.273878"
22781,2021,JULIO,2021-07-28,MIÉRCOLES,08:50:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,INDUSTRIAL NOGALAR,AVENIDA,LOPEZ MATEOS Y NOGALAR,"25.711209, -100.277666"
23016,2021,JULIO,2021-07-27,MARTES,14:38:00,ALCANCE  CON PROYECCION,FINIQUITADO,C4,COLONIA,CABECERA MUNICIPAL,AVENIDA,UNIVERSIDAD Y JUAREZ,"25.753277, -100.297828"
